TimeGenerated [UTC],Account,Computer,cityname,countryname,latitude,longitude
"3/10/2025, 8:58:40.966 PM",\ADMIN,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 8:58:45.438 PM",\ADMINISTRATOR,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 8:58:45.513 PM",\ADMINISTRATOR,WORK-NET-US-EAS,,Singapore,1.2929,103.8547
"3/10/2025, 8:58:48.122 PM",\USER,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 8:58:53.084 PM",\ADMINISTRATOR,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 8:58:55.528 PM",\ADMIN,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 8:59:00.662 PM",\ADMINISTRATOR,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 8:59:02.622 PM",\USER,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 8:59:08.247 PM",\ADMINISTRATOR,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 8:59:09.849 PM",\ADMIN,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 8:59:12.007 PM",\ADMIN,WORK-NET-US-EAS,,Singapore,1.2929,103.8547
"3/10/2025, 8:59:15.848 PM",\ADMINISTRATOR,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 8:59:17.071 PM",\USER,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 8:59:23.516 PM",\ADMINISTRATOR,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 8:59:24.153 PM",\ADMIN,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 8:59:31.147 PM",\ADMINISTRATOR,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 8:59:31.564 PM",\USER,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 8:59:38.673 PM",\VMADMIN,WORK-NET-US-EAS,,Singapore,1.2929,103.8547
"3/10/2025, 8:59:38.699 PM",\ADMIN,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 8:59:38.754 PM",\ADMINISTRATOR,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 8:59:45.719 PM",\USER,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 8:59:46.448 PM",\ADMINISTRATOR,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 8:59:52.503 PM",\ADMIN,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 8:59:54.545 PM",\ADMINISTRATOR,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
"3/10/2025, 8:59:59.488 PM",\USER,WORK-NET-US-EAS,Rome,Italy,41.8904,12.5126
